Iteración 143: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 771.2631487665506, Diversidad Hamming: 2.2023529411764704, Diversidad Euclidiana: 1.3707671905237169
Iteración 144: Mejor evaluación: 880, Peor evaluación: 400, Promedio evaluación: 773.768829285236, Diversidad Hamming: 2.020392156862745, Diversidad Euclidiana: 1.3146807013912798
Iteración 145: Mejor evaluación: 880, Peor evaluación: 500, Promedio evaluación: 775.3157871916376, Diversidad Hamming: 1.8901960784313725, Diversidad Euclidiana: 1.2574542726602809
Iteración 146: Mejor evaluación: 880, Peor evaluación: 350, Promedio evaluación: 771.7755406546423, Diversidad Hamming: 2.2745098039215685, Diversidad Euclidiana: 1.4211058822650626
Iteración 147: Mejor evaluación: 880, Peor evaluación: 510, Promedio evaluación: 775.7897311116349, Diversidad Hamming: 2.2023529411764704, Diversidad Euclidiana: 1.4106010267271851
Iteración 148: Mejor evaluación: 880, Peor evaluación: 410, Promedio evaluación: 756.9144733989547, Diversidad Hamming: 2.75921568627451, Diversidad Euclidiana: 1.5864130135345775
Iteración 149: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 751.888609248497, Diversidad Hamming: 2.6682352941176473, Diversidad Euclidiana: 1.5658881290807132
Iteración 150: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 753.3952850164053, Diversidad Hamming: 2.403137254901961, Diversidad Euclidiana: 1.478819642283495
Iteración 151: Mejor evaluación: 880, Peor evaluación: 490, Promedio evaluación: 760.6192111356536, Diversidad Hamming: 2.156862745098039, Diversidad Euclidiana: 1.3618512506779608
Iteración 152: Mejor evaluación: 880, Peor evaluación: 380, Promedio evaluación: 767.3684290972385, Diversidad Hamming: 1.9184313725490196, Diversidad Euclidiana: 1.2688026701216868
Iteración 153: Mejor evaluación: 880, Peor evaluación: 510, Promedio evaluación: 773.2920576858742, Diversidad Hamming: 1.9090196078431372, Diversidad Euclidiana: 1.2554395298041134
Iteración 154: Mejor evaluación: 880, Peor evaluación: 400, Promedio evaluación: 768.6068131566626, Diversidad Hamming: 2.175686274509804, Diversidad Euclidiana: 1.3919792215779145
Iteración 155: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 767.3426222646058, Diversidad Hamming: 2.409411764705882, Diversidad Euclidiana: 1.4731020593990036
